epoch,test_acc,compression_ratio
1,10.0,25.11881836859348
2,19.21,25.11881836859348
3,27.9,25.11881836859348
4,50.35,25.11881836859348
5,63.25,25.11881836859348
6,75.92,25.11881836859348
7,76.25,25.11881836859348
8,81.55,25.11881836859348
9,84.41,25.11881836859348
10,83.95,25.11881836859348
11,85.28,25.11881836859348
12,85.6,25.11881836859348
13,85.84,25.11881836859348
14,86.04,25.11881836859348
15,85.12,25.11881836859348
16,86.04,25.11881836859348
17,86.82,25.11881836859348
18,86.65,25.11881836859348
19,85.78,25.11881836859348
20,86.86,25.11881836859348
21,86.61,25.11881836859348
22,86.9,25.11881836859348
23,87.15,25.11881836859348
24,87.08,25.11881836859348
25,87.11,25.11881836859348
26,87.05,25.11881836859348
27,87.0,25.11881836859348
28,87.25,25.11881836859348
29,87.39,25.11881836859348
30,87.38,25.11881836859348
