epoch,test_acc,compression_ratio
1,10.0,25.11881836859348
2,19.11,25.11881836859348
3,30.04,25.11881836859348
4,60.02,25.11881836859348
5,72.73,25.11881836859348
6,76.02,25.11881836859348
7,79.79,25.11881836859348
8,80.43,25.11881836859348
9,82.01,25.11881836859348
10,83.82,25.11881836859348
11,84.72,25.11881836859348
12,84.43,25.11881836859348
13,85.17,25.11881836859348
14,85.84,25.11881836859348
15,86.33,25.11881836859348
16,86.37,25.11881836859348
17,85.9,25.11881836859348
18,86.18,25.11881836859348
19,86.82,25.11881836859348
20,86.94,25.11881836859348
21,86.83,25.11881836859348
22,86.95,25.11881836859348
23,86.92,25.11881836859348
24,86.37,25.11881836859348
25,87.15,25.11881836859348
26,87.27,25.11881836859348
27,86.76,25.11881836859348
28,86.89,25.11881836859348
29,86.66,25.11881836859348
30,86.88,25.11881836859348
