epoch,test_acc,compression_ratio
1,10.0,25.007175472928896
2,12.4,25.007175472928896
3,34.08,25.007175472928896
4,50.13,25.007175472928896
5,66.95,25.007175472928896
6,76.32,25.007175472928896
7,72.98,25.007175472928896
8,82.87,25.007175472928896
9,81.71,25.007175472928896
10,84.78,25.007175472928896
11,85.88,25.007175472928896
12,84.98,25.007175472928896
13,86.18,25.007175472928896
14,86.57,25.007175472928896
15,86.34,25.007175472928896
16,86.67,25.007175472928896
17,86.94,25.007175472928896
18,86.74,25.007175472928896
19,86.44,25.007175472928896
20,86.66,25.007175472928896
21,87.37,25.007175472928896
22,87.34,25.007175472928896
23,86.79,25.007175472928896
24,87.17,25.007175472928896
25,87.23,25.007175472928896
26,87.1,25.007175472928896
27,87.18,25.007175472928896
28,87.34,25.007175472928896
29,87.11,25.007175472928896
30,87.48,25.007175472928896
