epoch,test_acc,compression_ratio
1,87.51,12.47159761355992
2,90.24,12.47159761355992
3,90.18,12.47159761355992
4,90.36,12.47159761355992
5,89.69,12.47159761355992
6,91.05,12.47159761355992
7,90.75,12.47159761355992
8,90.91,12.47159761355992
9,91.03,12.47159761355992
10,90.9,12.47159761355992
11,90.94,12.47159761355992
12,91.33,12.47159761355992
13,90.84,12.47159761355992
14,91.32,12.47159761355992
15,91.14,12.47159761355992
16,91.71,12.47159761355992
17,91.01,12.47159761355992
18,91.61,12.47159761355992
19,91.72,12.47159761355992
20,91.34,12.47159761355992
21,91.73,12.47159761355992
22,91.45,12.47159761355992
23,91.32,12.47159761355992
24,91.32,12.47159761355992
25,91.2,12.47159761355992
26,91.72,12.47159761355992
27,91.85,12.47159761355992
28,91.48,12.47159761355992
29,91.76,12.47159761355992
30,91.77,12.47159761355992
31,91.55,12.47159761355992
32,91.78,12.47159761355992
33,91.88,12.47159761355992
34,91.88,12.47159761355992
35,91.82,12.47159761355992
36,91.74,12.47159761355992
37,91.7,12.47159761355992
38,91.89,12.47159761355992
39,91.73,12.47159761355992
40,91.86,12.47159761355992
41,91.69,12.47159761355992
42,91.9,12.47159761355992
43,91.72,12.47159761355992
44,91.86,12.47159761355992
45,91.62,12.47159761355992
46,91.79,12.47159761355992
47,91.65,12.47159761355992
48,91.63,12.47159761355992
49,91.61,12.47159761355992
50,91.78,12.47159761355992
51,91.58,12.47159761355992
52,91.65,12.47159761355992
53,91.88,12.47159761355992
54,91.66,12.47159761355992
55,91.74,12.47159761355992
56,91.68,12.47159761355992
57,91.7,12.47159761355992
58,91.59,12.47159761355992
59,91.78,12.47159761355992
60,91.72,12.47159761355992
61,91.73,12.47159761355992
62,91.84,12.47159761355992
63,91.85,12.47159761355992
64,91.72,12.47159761355992
65,91.84,12.47159761355992
66,91.86,12.47159761355992
67,91.8,12.47159761355992
68,91.89,12.47159761355992
69,91.93,12.47159761355992
70,91.87,12.47159761355992
71,91.77,12.47159761355992
72,91.76,12.47159761355992
73,91.95,12.47159761355992
74,91.79,12.47159761355992
75,91.74,12.47159761355992
76,91.77,12.47159761355992
77,91.82,12.47159761355992
78,91.68,12.47159761355992
79,91.78,12.47159761355992
80,91.82,12.47159761355992
81,91.64,12.47159761355992
82,91.8,12.47159761355992
83,92.01,12.47159761355992
84,91.76,12.47159761355992
85,91.72,12.47159761355992
86,91.83,12.47159761355992
87,91.77,12.47159761355992
88,91.75,12.47159761355992
89,91.74,12.47159761355992
90,91.84,12.47159761355992
91,91.74,12.47159761355992
92,91.63,12.47159761355992
93,91.8,12.47159761355992
94,91.68,12.47159761355992
95,91.47,12.47159761355992
96,91.74,12.47159761355992
97,91.6,12.47159761355992
98,91.77,12.47159761355992
99,91.67,12.47159761355992
100,91.54,12.47159761355992
