iteration,global_sparsity,layer_name,zero_frac,zeros,total
2,0.07790045815429271,layers.10.shortcut.0,0.0,0,6144
2,0.07790045815429271,layers.11.conv1,0.0,0,55296
2,0.07790045815429271,layers.11.conv2,0.0,0,5184
2,0.07790045815429271,layers.11.conv3,0.21875,12096,55296
2,0.07790045815429271,layers.12.conv1,0.0,0,55296
2,0.07790045815429271,layers.12.conv2,0.0,0,5184
2,0.07790045815429271,layers.12.conv3,0.3125,17280,55296
2,0.07790045815429271,layers.13.conv1,0.0,0,55296
2,0.07790045815429271,layers.13.conv2,0.0,0,5184
2,0.07790045815429271,layers.13.conv3,0.06875,6336,92160
2,0.07790045815429271,layers.14.conv1,0.0,0,153600
2,0.07790045815429271,layers.14.conv2,0.0,0,8640
2,0.07790045815429271,layers.14.conv3,0.25,38400,153600
2,0.07790045815429271,layers.15.conv1,0.0,0,153600
2,0.07790045815429271,layers.15.conv2,0.0,0,8640
2,0.07790045815429271,layers.15.conv3,0.19375,29760,153600
2,0.07790045815429271,layers.16.conv1,0.0,0,153600
2,0.07790045815429271,layers.16.conv2,0.0,0,8640
2,0.07790045815429271,layers.16.conv3,0.121875,37440,307200
2,0.07790045815429271,layers.16.shortcut.0,0.0,0,51200
2,0.07790045815429271,conv2,0.01015625,4160,409600
3,0.1186648074898267,conv1,0.0,0,864
3,0.1186648074898267,layers.0.conv1,0.0,0,1024
3,0.1186648074898267,layers.0.conv2,0.0,0,288
3,0.1186648074898267,layers.0.conv3,0.5,256,512
3,0.1186648074898267,layers.0.shortcut.0,0.0,0,512
3,0.1186648074898267,layers.1.conv1,0.0,0,1536
3,0.1186648074898267,layers.1.conv2,0.0,0,864
3,0.1186648074898267,layers.1.conv3,0.08333333333333333,192,2304
3,0.1186648074898267,layers.1.shortcut.0,0.0,0,384
3,0.1186648074898267,layers.2.conv1,0.0,0,3456
3,0.1186648074898267,layers.2.conv2,0.0,0,1296
3,0.1186648074898267,layers.2.conv3,0.16666666666666666,576,3456
3,0.1186648074898267,layers.3.conv1,0.0,0,3456
3,0.1186648074898267,layers.3.conv2,0.0,0,1296
3,0.1186648074898267,layers.3.conv3,0.0,0,4608
3,0.1186648074898267,layers.4.conv1,0.0,0,6144
3,0.1186648074898267,layers.4.conv2,0.0,0,1728
3,0.1186648074898267,layers.4.conv3,0.21875,1344,6144
3,0.1186648074898267,layers.5.conv1,0.0,0,6144
3,0.1186648074898267,layers.5.conv2,0.0,0,1728
3,0.1186648074898267,layers.5.conv3,0.125,768,6144
3,0.1186648074898267,layers.6.conv1,0.0,0,6144
3,0.1186648074898267,layers.6.conv2,0.0,0,1728
3,0.1186648074898267,layers.6.conv3,0.0,0,12288
