iteration,cumulative_sparsity,test_acc
1,0.04992816091954023,93.52
2,0.09985632183908046,93.47
3,0.1497844827586207,93.52
4,0.1997126436781609,93.46
5,0.25,93.33
6,0.2999281609195402,93.28
7,0.34985632183908044,93.03
8,0.39978448275862066,92.62
9,0.44971264367816094,92.39
10,0.5,92.11
