iteration,cumulative_sparsity,test_acc
1,0.04992816091954023,93.48
2,0.09985632183908046,93.48
3,0.1497844827586207,93.37
4,0.1997126436781609,93.42
5,0.25,93.3
6,0.2999281609195402,93.28
7,0.34985632183908044,93.05
8,0.39978448275862066,92.63
9,0.44971264367816094,92.36
10,0.5,92.11
11,0.5499281609195402,91.3
12,0.5998563218390804,91.05
13,0.6497844827586207,90.09
14,0.6997126436781609,88.6
15,0.75,84.37
16,0.7999281609195402,78.95
